Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
952,393.70CCDTMLB,Vehicle,"Coupling - Turntable mounting, loose bolts.",57,57,0%,1,0%
953,392.4A,Driver,Driver uses or is in possession of drugs,44,57,0%,51,0.01%
954,392.22A,Driver,Failing to use hazard warning flashers,57,57,0%,0,0%
955,171.2BHMGRMC,HazMat,"HM (general requirements) - failing to comply with all applicable requirements of this subchapter, or an exemption or special permit, approval, or registration is",57,57,0%,0,0%
956,395.282IIELDDDA,Driver,HOS (ELD) - Driver failing to annotate the driver's ELD record describing the driver's activity when prompted by the ELD. ,55,57,0%,0,0%
957,395.8D1HOSF,Driver,HOS (Form) - Record of duty status form failed to include date for each 24 hour period. Date: ,48,57,0%,0,0%
958,393.116ACL,Vehicle,Logs - Improperly secured firewood/stumps/log debris.,56,57,0%,57,0.01%
959,393.62E,Vehicle,No or inadequate bus emergency exit marking,35,57,0%,17,0%
960,393.112,Vehicle,Tiedown not adjustable by driver,56,57,0%,0,0%
961,396.7ASIBT,Vehicle,Tires - Solid item lodged between a set of dual tires,55,57,0%,57,0.01%
962,180.415B,HazMat,Cargo tank test or inspection markings,55,56,0%,0,0%
963,393.70DCDTSDM,Vehicle,"Coupling - Full Trailer, safety devices missing.",56,56,0%,55,0.01%
964,172.2KHMGRMC,HazMat,HM (General Requirements) - Representing vehicle with Hazardous Materials with none present.,56,56,0%,1,0%
965,393.205BWR,Vehicle,Wheel/Rim - Elongated stud hole.,52,56,0%,55,0.01%
966,393.47D1BRMMCADSA,Vehicle,Air Disc Brake - Rotor (disc) metal to metal contact on a steering axle.,54,55,0%,54,0.01%
967,172.202A3,HazMat,No or improper Hazard Class or Division number.,53,55,0%,2,0%
968,393.17B,Vehicle,No/defective towaway lamps on rear unit,53,55,0%,50,0.01%
969,393.86B1,Vehicle,Rear Impact Guard Required - motor vehicle manufactured after 12/31/1952 (see exceptions),55,55,0%,0,0%
970,393.209BSTWLOOS,Vehicle,Steering - Steering wheel lash (free play) meets or exceeds OOS chart limit.,55,55,0%,55,0.01%
971,393.48ABSRFS,Vehicle,Brakes - Severe rusting of brake rotor (disc),37,54,0%,9,0%
972,393.70B2CDKPE,Vehicle,Coupling - Kingpin not properly engaged.,54,54,0%,51,0.01%
973,393.70B1II,Vehicle,Defective / Improper fifth wheel assembly upper half,50,54,0%,29,0.01%
974,396.1KNOWLEDGE,Vehicle,Failing to have knowledge of and comply with the Federal Motor Carrier Safety Regulations (FMCSRs) of this part.,54,54,0%,0,0%
975,177.823AHMTVMNID,HazMat,HM (Transport Vehicle Markings) - Less than 50% of the required ID numbers are missing for each material. ,53,54,0%,2,0%
976,393.17B2LSLDMWR,Vehicle,Lighting - Stop Lamps - Driveaway - both missing when required.,54,54,0%,32,0.01%
977,393.209C,Vehicle,Loose steering column,54,54,0%,47,0.01%
978,385.105BOOSO,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: MX Carrier - Inadequate Corrective Action.,54,54,0%,50,0.01%
979,393.25B,Vehicle,Lamps are not visible as required,52,53,0%,2,0%
980,393.23,Vehicle,Required lamp not powered by vehicle electric,52,53,0%,30,0.01%
981,393.13D1CSSRR,Vehicle,"Conspicuity Systems - Trailers, side reflex reflectors inadequate on vehicle manufactured before December 1, 1993.",51,52,0%,0,0%
982,395.8HHOSM,Driver,HOS (Manner) - Driver's record of duty status failed to have a continuous line between appropriate time marker(s). Date: ,45,52,0%,0,0%
983,393.48ABSRFSHE,Vehicle,Hydraulic/Electric Brake - Severe rusting of brake rotor (disc).,26,52,0%,0,0%
984,172.400A,HazMat,Package or containment device not labeled as required,52,52,0%,0,0%
985,395.24C1III,Driver,Driver failed to add file comment per safety officers request,51,51,0%,0,0%
986,392.5A1I,Driver,"Intoxicating - No driver shall use alcohol, or be under the influence of alcohol, within 4 hours before going on duty or operating, or having physical control of, a commercial motor vehicle.",50,51,0%,51,0.01%
987,393.17DLDSML,Vehicle,"Lighting - Driveaway, side marker lamp(s) missing on intermediate towed vehicle.",51,51,0%,0,0%
988,393.201AVURC,Vehicle,Van/OT Trailers - Upper rail buckled/cracked and has missing/loose fasteners.,48,51,0%,47,0.01%
989,393.47CBSAMAD,Vehicle,Air Disc Brake - Slack adjuster length mismatched on the same axle other than a steering axle.,48,50,0%,0,0%
990,393.45ABLCB,Vehicle,"Hydraulic Fluid Lines Restricted, Cracked or Broken",44,50,0%,49,0.01%
991,393.24C,Vehicle,Improper Headlamp mounting,50,50,0%,0,0%
992,393.13D1,Vehicle,Improper Side Placement of retroreflective sheeting or reflex reflective material as required for vehicles manufactured before December 1993,47,50,0%,0,0%
993,393.130C,Vehicle,Improper restraint/securement of item,50,50,0%,48,0.01%
994,396.3A1STC,Vehicle,Steering - Cracked steering component other than steering column.,46,50,0%,47,0.01%
995,177.834J1HMBPMC,HazMat,HM (Bulk Packages) - Missing or imporperly secured manhole covers. NOTE: An OOS condition exists when any of the manhole cover's securement devices are missing or unsecured.,48,49,0%,49,0.01%
996,172.203C2HMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper does not list RQ as required.,46,49,0%,0,0%
997,395.24C1IIIELDDOF,Driver,"HOS (ELD) - Driver failing to provide output file comment, when directed by an authorized safety officer.",49,49,0%,0,0%
998,393.207CSLB,Vehicle,Suspension - 25% or more of the leaves in a spring assembly are broken.,47,49,0%,49,0.01%
999,396.3A1DLDSJM,Vehicle,"Driveline/Driveshaft - Any horizontal or vertical movement of slip joint yoke shaft of greater than 1/2 inch, with hand pressure only. ",48,48,0%,42,0.01%
1000,395.8F06,Driver,Driver failed to record name of carrier for each 24 hour period.,40,48,0%,0,0%
1001,391.15ASOUT,Driver,Driving a CMV while disqualified. Suspended for a safety-related or unknown reason and outside the driver's license state of issuance,48,48,0%,48,0.01%
1002,172.332A,HazMat,Failure to display ID Numbers when required,46,48,0%,32,0.01%
1003,171.2DHMGRMC,HazMat,HM (general requirements) - accepting hazardous materials for transportation without registering with PHMSA,48,48,0%,0,0%
1004,393.102B,Vehicle,Insufficient means to prevent vertical movement,47,48,0%,38,0.01%
1005,390.21TG4IIEPIDM,Other,Intermodal Equipment Provider - Improper identification marking.,48,48,0%,0,0%
1006,391.11B5DEN,Driver,Driver operating a CMV without proper endorsements or in violation of restrictions.,47,47,0%,47,0.01%
1007,391.15ANSOUT,Driver,Driving a CMV while disqualified. Suspended for a non-safety-related reason and outside the state of driver's license issuance.,47,47,0%,38,0.01%
1008,395.13D,Driver,Driving after being declared out-of-service for HOS violation(s),46,47,0%,20,0%
1009,393.47CBSALMBDSA,Vehicle,Drum Brake - Slack adjuster length mismatched on a steering axle.,47,47,0%,45,0.01%
1010,172.604A3HMER,HazMat,HM (Emergency Response) - Failing to ensure the emergency response telephone number is entered on the shipping paper as required. ,47,47,0%,0,0%
1011,393.86A3RIG,Vehicle,"Rear Impact Guards - Trailers and semitrailers manufactured on or after January 26, 1998 improper height.",46,46,0%,0,0%
1012,393.47ABDRF,Vehicle,Brake - Drum or rotor (disc) missing or in danger of falling away.,44,45,0%,43,0.01%
1013,171.2KHMGRMC,HazMat,HM (General Requirements) - Representing vehicle with Hazardous Materials with none present.,44,45,0%,1,0%
1014,393.45ABHIJ,Vehicle,Hydraulic Improperly joined such as a splice made by sliding the hose ends over a piece of tubing and clamping the hose to the tube.,44,45,0%,45,0.01%
1015,393.126CCIM,Vehicle,Intermodal Containers - Improper securement of loaded intermodal containers transported on vehicles other than container chassis vehicle(s).,45,45,0%,44,0.01%
1016,393.17B2LDCL,Vehicle,"Lighting - Driveaway, clearance lamp(s) missing on rear of rearmost towed vehicle.",45,45,0%,0,0%
1017,172.506A1,HazMat,Placards not affixed to vehicle,45,45,0%,3,0%
1018,391.11B3Q,Driver,Qualifications - Operating a CMV without proper training/experience.,45,45,0%,0,0%
1019,395.8A1IIIBHOSF,Driver,HOS (Form) - Record of duty status form not in specified grid form and/or in duplicate for each 24 hour period. Date:,43,44,0%,2,0%
1020,395.8E1HOSPVICDOOS,Driver,HOS (Passenger) - Co-driver produces a false record of duty status with an apparent attempt to conceal hours. Explain:,43,44,0%,4,0%
1021,393.48ABLMCHE,Vehicle,Hydraulic/Electric Brake - Loose/missing caliper bolt.,33,44,0%,5,0%
1022,393.70CCDHSLMII,Vehicle,"Full Trailer - Loose mounting, missing or ineffective fasteners, or insecure latch.",43,43,0%,41,0.01%
1023,172.516C2HMPMC,HazMat,HM (Placarding) - Failure to display placard(s) clear of appurtenances.,43,43,0%,0,0%
1024,177.834J,HazMat,Manholes and valves not closed or leak free,43,43,0%,37,0.01%
1025,393.13B,Vehicle,No retroreflective sheeting or reflex reflective material as required for vehicles manufactured before December 1993,39,43,0%,0,0%
1026,393.75F1,Vehicle,Weight carried exceeds tire load limit,17,43,0%,18,0%
1027,393.47ACD,Vehicle,Brake drum with external crack or crack that opens upon application,40,42,0%,33,0.01%
1028,395.8F10,Driver,Driver failed to record days off duty.,40,42,0%,0,0%
1029,177.840A1HMHC,HazMat,HM (Highway Carriage) - No or improper Class 2 Cylinder securement.,39,42,0%,8,0%
1030,172.519C1HMPMC,HazMat,HM (Placarding) - Failure to meet placard size and border requirements.,42,42,0%,0,0%
1031,393.87B,Vehicle,Improper warning flag placement,39,42,0%,0,0%
1032,392.15NONCDL,Other,Driver prohibited from performing safety sensitive functions per 382.501(a) in the drug and alcohol clearinghouse in a cmv that does not require a CDL,41,41,0%,37,0.01%
1033,395.8D8HOSF,Driver,HOS (Form) - Record of duty status form failed to include remarks for each 24 hour period. Date: ,33,41,0%,0,0%
1034,393.201AVBF,Vehicle,Van/OT Trailers - Broken floor with protruding freight and sagging crossmembers.,41,41,0%,31,0.01%
1035,172.302AHMM,HazMat,HM (Markings) - Failing to mark a bulk HM package with ID numbers as required. ,40,40,0%,4,0%
1036,172.502CHMPP,HazMat,"HM (Permissive placarding) - Placards may be displayed for a hazardous material, even when not required, if the placarding otherwise conforms to the requirements of this subpart.",40,40,0%,0,0%
1037,172.202A4,HazMat,No or improper Packing Group listed,40,40,0%,0,0%
1038,383.23A2P,Driver,Operating a CMV without a valid CDL: No passenger vehicle endorsement,40,40,0%,40,0.01%
1039,393.13A,Vehicle,Retroreflective tape not affixed as required for Trailers manufactured prior to December 1993,39,40,0%,0,0%
1040,392.2SLML,Driver,State/Local Laws - Failure to maintain lane.,40,40,0%,0,0%
1041,393.209ASTSWNS,Vehicle,Steering - Steering wheel not properly secured.,40,40,0%,38,0.01%
1042,172.407AHML,HazMat,HM (Labeling) - Failing to meet label durability requirements.,37,39,0%,0,0%
1043,390.21G3,Other,"IEP failing to mark/identify equipment with ""USDOT"" Number as required.",39,39,0%,0,0%
1044,393.132,Vehicle,No/improper securement of crushed vehicles,34,39,0%,31,0.01%
1045,393.209DSTGBMC,Vehicle,Steering - Gear box/mounting bracket cracked.,38,39,0%,39,0.01%
1046,393.90,Vehicle,Buses - Missing or improper standee line or bar.,37,38,0%,0,0%
1047,393.83B,Vehicle,Exhaust - Discharging below the fuel tank or filler pipe.,38,38,0%,6,0%
1048,172.502A2HMPP,HazMat,"HM (Placarding) - Any sign, advertisement, slogan (such as ""Drive Safely""), or device that, by its color, design, shape or content, could be confused with any placard prescribed in this subpart.",37,38,0%,0,0%
1049,172.519D3HMPMC,HazMat,"HM (Placarding) - Upon visual examination, a color on a placard must fall within the color tolerances displayed on the appropriate Hazardous Materials Label and Placard Color Tolerance Chart (see Ã‚Â§172.407(d)(4)). ",38,38,0%,0,0%
1050,396.3A1HSH,Vehicle,HUBS - Smoking From HUB Assembly.,38,38,0%,38,0.01%
1051,393.40,Vehicle,Inadequate brake system on a CMV,24,38,0%,20,0%
1052,385.103C,Vehicle,MX Carrier - Mexican domiciled carrier operating a CMV in the U.S. with provisional operating authority without a current CVSA decal.,38,38,0%,38,0.01%
1053,392.5A2UI,Driver,Operating a CMV while under the influence of an intoxicating beverage regardless of its alcohol content.,38,38,0%,38,0.01%
1054,385.325C,Other,Operating in interstate commerce on or after the Operational Out of Service order date for failure of a Safety Audit,38,38,0%,37,0.01%
1055,396.3A1BPA,Vehicle,Brakes - Hydraulic Brake Power Assist / Power Brake Unit / Brake Backup System Inoperative,37,37,0%,35,0.01%
1056,393.126B,Vehicle,Damaged or Missing tiedown or securement device for intermodal containers transported on container chassis vehicle,36,37,0%,27,0.01%
1057,392.5A2DETECT,Driver,"Driver having any measured alcohol concentration, or any detected presence of alcohol while on duty,or operating, or in physical control of a commercial motor vehicle",37,37,0%,36,0.01%
1058,178.3379CHMP,HazMat,HM (Packaging) - MC 331 improper marking of inlets/outlets. ,37,37,0%,0,0%
1059,395.30EELDMCCD,Driver,HOS (ELD) - Motor carrier coerced a driver to make a false certification of the driver's data entries or record of duty status. ,28,37,0%,1,0%
1060,393.47D2BLTHE,Vehicle,Hydraulic/Electric Brake - Lining/pad thickness less than 1/16 inch.,31,37,0%,2,0%
1061,393.50,Vehicle,Inadequate reservoir for air/vacuum brakes,37,37,0%,6,0%
1062,391.41A1MCOOS,Driver,Medical (Certificate) - Operating a commercial motor vehicle while not medically certified as physically qualified to do so. ,37,37,0%,29,0.01%
1063,393.128B3,Vehicle,Tiedown(s) not over/around wheels.,32,37,0%,29,0.01%
1064,392.62C2,Vehicle,Bus - Exit(s) obstructed by baggage/freight,33,36,0%,31,0.01%
1065,396.3A1BECI,Vehicle,Buses - Electrical components have broken or unsecured mounting.,26,36,0%,20,0%
1066,393.62BEO,Vehicle,"Buses - Required emergency exit obstructed (includes obstructions of the markings, release or mechanism and/or the opening of the emergency exit).",34,36,0%,33,0.01%
1067,172.606B2HMER,HazMat,HM (Emergency Response) - Failing to have the shipping paper and emergency response information readily available on the tranport vehicle. ,35,36,0%,0,0%
1068,171.2FHMGRMC,HazMat,HM (general requirements) - transporting hazardous materials not in accordance with this part,36,36,0%,1,0%
1069,393.47D2BRMMCHE,Vehicle,Hydraulic/Electric Brake - Rotor (disc) metal to metal contact.,33,36,0%,7,0%
1070,395.22B2II,Driver,Motor carrier failed to include required user identification data in ELD account,36,36,0%,0,0%
1071,393.207G,Vehicle,No / defective air suspension exhaust control,36,36,0%,0,0%
1072,392.2R,Driver,Reckless driving,36,36,0%,0,0%
1073,396.3A1TARPSWST,Vehicle,Tires - Presence of rubber-coated cord or cured rubber plug in the sidewall of a single tire.,35,36,0%,32,0.01%
1074,393.28BEW,Vehicle,Buses - Electrical cable insulation chafed/frayed/damaged/burnt exposing wire.,33,35,0%,30,0.01%
1075,393.89,Vehicle,Buses - Missing or inadequate driveshaft protection.,35,35,0%,0,0%
1076,393.70CCDTPHF,Vehicle,"Coupling - Full Trailer, pintle hook loose/missing fasteners. ",35,35,0%,32,0.01%
1077,395.24C1II,Driver,Driver failed to manually add location description,30,35,0%,0,0%
1078,173.30HMCS,HazMat,HM (Cargo) - Shipper failed to load HM in conformance as required.,35,35,0%,1,0%
1079,173.24F1HMGP,HazMat,HM (General Packaging) - Closures for packagings not properly closed/secured.,34,35,0%,22,0%
1080,173.24CHMGP,HazMat,HM (General Packaging) - Using an unauthorized non-bulk packaging for the transportation of HM.,34,35,0%,0,0%
1081,395.8D6HOSF,Driver,HOS (Form) - Record of duty status form failed to properly indicate 24 hour period starting time for each 24 hour period. Date: ,35,35,0%,0,0%
1082,172.202A1,HazMat,No or improper Identification Number,35,35,0%,3,0%
1083,393.75I1,Vehicle,Operating a CMV while weight carried exceeds tire rating due to under-inflation,29,35,0%,26,0.01%
1084,172.334,HazMat,Prohibited ID number marking,35,35,0%,19,0%
1085,393.48ABSRFSADSA,Vehicle,Air Disc Brake - Severe rusting of brake rotor (disc) on a steering axle.,29,34,0%,33,0.01%
1086,396.3A1BBS,Vehicle,Hydraulic brake backup system is inoperative,33,33,0%,31,0.01%
1087,393.104F2C,Vehicle,Cargo - Use of tiedown with improper repair,28,32,0%,1,0%
1088,172.201A1,HazMat,Hazardous Materials not distinguished from non-Hazardous Materials,32,32,0%,0,0%
1089,393.24D,Vehicle,Improper Head / Auxiliary / Fog lamp aiming,32,32,0%,0,0%
1090,393.126DCIM,Vehicle,Intermodal Containers - Improper securement of empty intermodal containers transported on vehicles other than container chassis vehicle(s).,31,32,0%,30,0.01%
1091,393.47ABCLMHE,Vehicle,Hydraulic/Electric Brake - Cracked/loose/missing lining/pad.,22,31,0%,0,0%
1092,393.62BEM,Vehicle,Buses - Required emergency exit missing.,29,30,0%,28,0.01%
1093,392.9B2DFICD,Vehicle,Driver - Failing to inspect the cargo and devices used to secure the cargo within the first 50 miles after beginning a trip.,30,30,0%,0,0%
1094,172.303AHMM,HazMat,HM (Markings) - Displaying an HM package with prohibited marking(s). ,29,30,0%,0,0%
1095,393.132C,Vehicle,Insufficient tiedowns per vehicle stack of crushed cars,30,30,0%,30,0.01%
1096,393.120CCDL,Vehicle,Metal Coils - Improper securement of coils transported with eyes crosswise in/on a vehicle with anchor points,29,30,0%,30,0.01%
1097,393.122BCPR,Vehicle,Paper Rolls - Improper securement of paper rolls transported with eyes vertical in a sided vehicle,30,30,0%,30,0.01%
1098,392.71BMC,Driver,Carrier - Motor carrier permit/require a driver to use or equip a CMV with a radar detector.,29,29,0%,0,0%
1099,393.70B1ICDPBFLLT20,Vehicle,Coupling - Mounting plate or pivot bracket has 20% or less of the fasteners on either side missing/ineffective.,28,29,0%,0,0%
1100,178.3456,HazMat,DOT406/407/412 supports and anchoring,28,29,0%,4,0%
1101,393.70A,Vehicle,Defective coupling device-improper tracking,29,29,0%,3,0%
1102,393.70B2,Vehicle,Defective fifth wheel locking mechanism,29,29,0%,26,0.01%
1103,395.24C2I,Driver,Driver failed to manually add CMV power unit number ,28,29,0%,0,0%
1104,396.3A1FA,Vehicle,Front Axle and any other steering components cracked/repair welded,29,29,0%,25,0.01%
1105,177.834J2HMBP,HazMat,HM (Bulk Packages) - Operate a motor vehicle with the internal valve in the open position.,29,29,0%,29,0.01%
1106,177.800CHMTMC,HazMat,HM (Training) - Motor carrier failed to comply with HM regulations.,27,29,0%,0,0%
1107,172.704C1HMTMC,HazMat,HM (Training) - Motor carrier failed to train HM employees as required.,29,29,0%,0,0%
1108,393.116CCL,Vehicle,"Logs - Logs not solidly packed/outer bottom logs not in contact with and resting solidly against the bunks, bolsters, stakes or standards.",28,29,0%,27,0.01%
1109,393.120,Vehicle,No or improper securement of metal coils,29,29,0%,26,0.01%
1110,396.3A1CDHSMSCM,Vehicle,"Semi-Trailer - Cracks anywhere in the hitch system, including mounting surface and frame cross member.",29,29,0%,26,0.01%
1111,393.70B1ICDFWCLT20,Vehicle,Coupling - Less than 20% of the fifth wheel mounting angle iron cracked/broken.,28,28,0%,0,0%
1112,393.70B1ICDMFW,Vehicle,Coupling - Movement of the fifth wheel mounting components.,28,28,0%,25,0.01%
1113,395.15G01,Driver,Driver failed to have instructions on-board CMV for installed automatic on-board recording device.,28,28,0%,0,0%
1114,393.45ABHB,Vehicle,Hydraulic Brake Hose bulges or swells under pressure,28,28,0%,28,0.01%
1115,393.47ABCFSHESA,Vehicle,Hydraulic/Electric Brake - Contaminated friction surface on a steering axle.,27,28,0%,28,0.01%
1116,172.202A5,HazMat,No or improper Total Quantity listed,27,28,0%,0,0%
1117,395.15I5,Driver,Onboard recording device does not display required information,25,28,0%,0,0%
1118,391.41AP,Driver,Operating a passenger-carrying vehicle without possessing a valid medical certificate.,28,28,0%,21,0%
1119,393.205B,Vehicle,Stud/bolt holes elongated on wheels,27,28,0%,18,0%
1120,395.32C1,Driver,The motor carrier failed to ensure that records of unidentified driving are reviewed by annotating why the time is unassigned or assigning the time to the appropr,25,28,0%,0,0%
1121,395.30C,Driver,Failing to follow the prompts from the ELD when editing/adding missing information,27,27,0%,0,0%
1122,393.65,Vehicle,Fuel system requirements,27,27,0%,12,0%
1123,172.300AHMMC,HazMat,HM (Markings) - Motor carrier permit/require a driver to operate a motor vehicle with a HM not marked as required. ,26,27,0%,1,0%
1124,393.47D1BLTHESA,Vehicle,Hydraulic/Electric Brake - Inadequate lining/pad thickness on a steering axle.,23,27,0%,24,0%
1125,390.21E,Other,Improper marking for a rented CMV under a rental agreement not exceeding 30 days,27,27,0%,0,0%
1126,395.13D2OOSO,Driver,OOS Order (HOS) - Operating a CMV after being placed out-of-service and before preparing a record of duty status.,27,27,0%,0,0%
1127,396.3A1AABRF50,Vehicle,The sliding suspension attachment member (undercarriage body rail) on either side exhibits 50% or more of attachment fasteners missing. ,27,27,0%,26,0.01%
1128,393.45AAHIL,Vehicle,Brakes - Air brake hose/tubing labeled for other than an air brake system,16,26,0%,23,0%
1129,393.106C2,Vehicle,Cargo without direct contact not prevented from shifting while in transit,26,26,0%,26,0.01%
1130,393.124ECCP,Vehicle,Concrete Pipe - Improper securement of pipe up to 45 inches in diameter. ,25,26,0%,26,0.01%
1131,397.13AHMDP,Driver,"HM (Driving & Parking) - No person may smoke/light/carry a lighted cigarette/cigar/pipe within 25 feet of a motor vehicle containing Class 1, 5, or flammable materials Class 3, Division 2.1, 4.1, or 4.2. ",26,26,0%,0,0%
1132,173.24B4HMGP,HazMat,HM (General Packaging) - HM residue adhering to outside of the package.,26,26,0%,0,0%
1133,172.203KHMSPS,HazMat,"HM (Shipping Papers) - Shipper HM shipping paper does not list technical name for ""n.o.s."" as required. ",25,26,0%,0,0%
1134,395.8GHOSF,Driver,HOS (Form) - Driver''s record of duty status form failed to include required graph grid of be of sufficient size to be legible.  Date: ,25,26,0%,0,0%
1135,395.13C1IMCDOCMV,Driver,HOS (Manner) - Motor Carrier required a driver who has been declared out of service to operate a CMV. ,26,26,0%,0,0%
1136,172.406A1,HazMat,Label placement not as required,26,26,0%,0,0%
1137,390.21TF,Other,"Drive-Away Service failing to mark vehicle with Legal Name or Trade Name, and/or USDOT Number",25,25,0%,0,0%
1138,177.801HMBPTA,HazMat,HM (Bulk Packages) - Transporting or accept for transportation HM/DG in a bulk package/large means of containment not authorized/selected for the material being transported.,24,25,0%,23,0%
1139,172.332AHMM,HazMat,HM (Markings) - Failing to display ID number(s) as required.,23,25,0%,2,0%
1140,172.201A4HMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper contains additional information not following basic description as required/permitted.  ,25,25,0%,0,0%
1141,393.48ABCMHE,Vehicle,Hydraulic/Electric Brake - Hydraulic brake caliper movement exceeds 1/8Ã¢â‚¬Â¿.,13,25,0%,1,0%
1142,393.61,Vehicle,Inadequate or missing truck side windows,25,25,0%,0,0%
1143,393.76ESB,Vehicle,"Sleeper Berth - Inadequate bedclothing, blankets and mattress.",25,25,0%,0,0%
1144,177.801,HazMat,Accepting or Transporting Hazardous Materials not prepared in accordance with regulations,19,24,0%,5,0%
1145,172.403G,HazMat,Failed to label RAM properly,22,24,0%,0,0%
1146,172.600C2HMER,HazMat,HM (Emergency Response) - No emergency response information/telephone number immediately available for government agent.,24,24,0%,0,0%
1147,172.519D1HMPMC,HazMat,"HM (Placarding) - The background color, symbol, text, numerals and inner border on a placard must be as specified in Ã‚Â§Ã‚Â§172.521 through 172.560 of this subpart, as appropriate.",24,24,0%,0,0%
1148,395.8F8IHOSM,Driver,"HOS (Manner) - Driver's record of duty status failed to utilize proper time standard at the driver's home terminal, for each 24 hour period. Date: ",22,24,0%,0,0%
1149,396.3A1BHPB,Vehicle,Hydraulic power brake unit is inoperative,23,24,0%,24,0%
1150,393.47D1BRMMCHESA,Vehicle,Hydraulic/Electric Brake - Rotor (disc) metal to metal contact on a steering axle.,23,24,0%,21,0%
1151,385.111C2OOSO,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: MX Carrier - Revoked Operating Authority.,23,24,0%,24,0%
1152,392.10A3RRC,Driver,Railroad Crossing - Driver failed to stop at a railroad grade crossing - Hazmat Placard Vehicle.,24,24,0%,0,0%
1153,397.3,Driver,State/local laws ordinances regulations,23,24,0%,0,0%
1154,396.3A1BACL,Vehicle,Air Brake - Air compressor mounting bolts loose. ,23,23,0%,12,0%
1155,393.203D,Vehicle,Cab seats not securely mounted,23,23,0%,1,0%
1156,393.70B1ICDPBFLMT20,Vehicle,Coupling - Mounting plate or pivot bracket has more than 20% of the fasteners on either side missing/ineffective.,23,23,0%,21,0%
1157,396.3A1CDTPHF,Vehicle,Coupling - Semi-Trailer pintle hook loose/missing fasteners.,23,23,0%,23,0%
1158,393.71HCDHSLMII,Vehicle,"Driveaway - Loose mounting, missing or ineffective fasteners, or insecure latch.",21,23,0%,23,0%
1159,392.5A,Driver,Driver consuming an intoxicating beverage within 4 hours before operating a motor vehicle,11,23,0%,21,0%
1160,395.3B1PROP,Driver,Driving after 60 hours on duty in a 7 day period. (Property carrying vehicle),22,23,0%,12,0%
1161,382.501ASSF,Driver,Drugs/Other Substances - Operating a CMV while recorded as prohibited from performing safety-sensitive sunction. ,23,23,0%,23,0%
1162,177.834J2HMBPDV,HazMat,HM (Bulk Packages) - Fill/inspection openings or discharge valves.,23,23,0%,22,0%
1163,395.5A1HOSPVID,Driver,HOS (Passenger) - Driving more than 10 hours following 8 consecutive hours off duty during the previous 8 consecutive day period. Date and Time:,19,23,0%,0,0%
1164,172.407,HazMat,Label does not meet specifications,22,23,0%,0,0%
1165,393.120BCDL,Vehicle,Metal Coils - Improper Securement of coils transported with eyes vertical in/on a vehicle with anchor points.,22,23,0%,23,0%
1166,393.106C1,Vehicle,No means to prevent cargo from rolling,23,23,0%,22,0%
1167,393.124,Vehicle,No or improper securement of concrete pipe,21,23,0%,20,0%
1168,172.604,HazMat,Offering HM for transportation with no or improper Emergency Response telephone number,23,23,0%,1,0%
1169,172.203C2,HazMat,RQ not on shipping paper,23,23,0%,0,0%
1170,393.207ASMRS,Vehicle,Suspension - Missing rubber spring.,22,23,0%,15,0%
1171,396.3A1CDTEW,Vehicle,"Coupling - Semi-Trailer, drawbar eye worn more than 20%.",22,22,0%,22,0%
1172,395.8F6HOSM,Driver,"HOS (Manner) - Driver's record of duty status failed to record the name, beginning and finishing time, and AM or PM of every motor carrier for which work is perfo",22,22,0%,0,0%
1173,390.21TG2IEP,Other,Intermodal Equipment Provider - Failing to identify the intermodal equipment provider. ,21,22,0%,0,0%
1174,393.116DCL,Vehicle,"Logs - Improper Securement of shortwood logs loaded crosswise on frame, rail and flatbed vehicles",20,22,0%,21,0%
1175,172.304A2,HazMat,Marking not on sharply contrasting color,22,22,0%,0,0%
1176,393.53C,Vehicle,No or Defective Brake Adjustment Indicator on Air Brake System for vehicle manufactured after 10/19/1994,21,22,0%,0,0%
1177,172.203K,HazMat,No technical name for n.o.s. entry,22,22,0%,1,0%
1178,392.9AA2C,Other,Operating beyond the scope of Operating Authority Granted - Providing prohibited point-to-point transportation services (Cabotage),22,22,0%,12,0%
1179,172.516C4,HazMat,Placard not located at least 3 inches away from advertising that could reduce its effectiveness.,21,22,0%,0,0%
1180,172.516C1,HazMat,Placard not securely affixed or attached,22,22,0%,1,0%
1181,172.516A,HazMat,Placard not visible from direction it faces,22,22,0%,0,0%
1182,393.47ACR,Vehicle,Rotor (disc) cracked more than 75 percent of the friction surface completely through the rotor or completely through a solid rotor or completely through a structural support,19,22,0%,22,0%
1183,396.3A1CRAMRH72B,Vehicle,Cargo (RAM) - RH-72B Cask Accessories - Hydraulic arm not securely attached (if equipped).,21,21,0%,6,0%
1184,393.71HCDITB,Vehicle,Coupling - Improper tow-bar.,21,21,0%,1,0%
1185,393.70B1ICDPPNS,Vehicle,Coupling - Pivot bracket pin missing/not secured.,21,21,0%,20,0%
1186,392.3FPROP,Driver,Fatigue - Operate a property-carrying CMV while impaired by fatigue.,21,21,0%,21,0%
